policyVersion,regionDatasetVersion,stage,groupKey,groupLabel,parentGroupKey
# policySource=https://github.com/woowacourse-teams/2026-toadzip/issues/95
# regionSource=classpath:region/regions.csv
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:SEOUL,서울,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:GYEONGGI,경기,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:INCHEON,인천,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:GANGWON,강원,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:CHUNGBUK,충북,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:DAEJEON_SEJONG_CHUNGNAM,대전·세종·충남,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:JEONBUK,전북,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:GWANGJU_JEONNAM,광주·전남,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:DAEGU_GYEONGBUK,대구·경북,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:BUSAN_ULSAN_GYEONGNAM,부산·울산·경남,
2026-09-02-v1,2026-07-01,1,SERVICE_ZONE:JEJU,제주,
2026-09-02-v1,2026-07-01,2,METROPOLITAN:11,서울,SERVICE_ZONE:SEOUL
2026-09-02-v1,2026-07-01,2,METROPOLITAN:12,전남광주,SERVICE_ZONE:GWANGJU_JEONNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:26,부산,SERVICE_ZONE:BUSAN_ULSAN_GYEONGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:27,대구,SERVICE_ZONE:DAEGU_GYEONGBUK
2026-09-02-v1,2026-07-01,2,METROPOLITAN:28,인천,SERVICE_ZONE:INCHEON
2026-09-02-v1,2026-07-01,2,METROPOLITAN:30,대전,SERVICE_ZONE:DAEJEON_SEJONG_CHUNGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:31,울산,SERVICE_ZONE:BUSAN_ULSAN_GYEONGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:36,세종,SERVICE_ZONE:DAEJEON_SEJONG_CHUNGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:41,경기,SERVICE_ZONE:GYEONGGI
2026-09-02-v1,2026-07-01,2,METROPOLITAN:43,충북,SERVICE_ZONE:CHUNGBUK
2026-09-02-v1,2026-07-01,2,METROPOLITAN:44,충남,SERVICE_ZONE:DAEJEON_SEJONG_CHUNGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:47,경북,SERVICE_ZONE:DAEGU_GYEONGBUK
2026-09-02-v1,2026-07-01,2,METROPOLITAN:48,경남,SERVICE_ZONE:BUSAN_ULSAN_GYEONGNAM
2026-09-02-v1,2026-07-01,2,METROPOLITAN:50,제주,SERVICE_ZONE:JEJU
2026-09-02-v1,2026-07-01,2,METROPOLITAN:51,강원,SERVICE_ZONE:GANGWON
2026-09-02-v1,2026-07-01,2,METROPOLITAN:52,전북,SERVICE_ZONE:JEONBUK
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11110,종로구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11140,중구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11170,용산구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11200,성동구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11215,광진구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11230,동대문구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11260,중랑구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11290,성북구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11305,강북구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11320,도봉구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11350,노원구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11380,은평구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11410,서대문구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11440,마포구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11470,양천구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11500,강서구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11530,구로구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11545,금천구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11560,영등포구,METROPOLITAN:11
2026-09-02-v1,2026-07-01,3,BASIC_REGION:11590,동작구,METROPOLITAN:11
