policyVersion,regionDatasetVersion,groupKey,latitude,longitude
2026-09-02-v1,2026-07-01,SERVICE_ZONE:SEOUL,37.54966272,126.99416283
2026-09-02-v1,2026-07-01,SERVICE_ZONE:GYEONGGI,37.44627299,127.02967758
2026-09-02-v1,2026-07-01,SERVICE_ZONE:INCHEON,37.50228356,126.61403650
2026-09-02-v1,2026-07-01,SERVICE_ZONE:GANGWON,37.67303171,128.33971316
2026-09-02-v1,2026-07-01,SERVICE_ZONE:CHUNGBUK,36.74435199,127.75608957
2026-09-02-v1,2026-07-01,SERVICE_ZONE:DAEJEON_SEJONG_CHUNGNAM,36.48245452,127.04425015
2026-09-02-v1,2026-07-01,SERVICE_ZONE:JEONBUK,35.74513745,127.04247248
2026-09-02-v1,2026-07-01,SERVICE_ZONE:GWANGJU_JEONNAM,34.94172360,126.91462547
2026-09-02-v1,2026-07-01,SERVICE_ZONE:DAEGU_GYEONGBUK,36.15702808,128.67087121
2026-09-02-v1,2026-07-01,SERVICE_ZONE:BUSAN_ULSAN_GYEONGNAM,35.24027594,128.71044973
2026-09-02-v1,2026-07-01,SERVICE_ZONE:JEJU,33.41342920,126.53173190
2026-09-02-v1,2026-07-01,METROPOLITAN:11,37.54966272,126.99416283
2026-09-02-v1,2026-07-01,METROPOLITAN:12,34.94172360,126.91462547
2026-09-02-v1,2026-07-01,METROPOLITAN:26,35.15878530,129.05555504
2026-09-02-v1,2026-07-01,METROPOLITAN:27,35.87617774,128.59103671
2026-09-02-v1,2026-07-01,METROPOLITAN:28,37.50228356,126.61403650
2026-09-02-v1,2026-07-01,METROPOLITAN:30,36.34392037,127.39783381
2026-09-02-v1,2026-07-01,METROPOLITAN:31,35.54520522,129.31842116
2026-09-02-v1,2026-07-01,METROPOLITAN:36,36.53282620,127.26465756
2026-09-02-v1,2026-07-01,METROPOLITAN:41,37.44627299,127.02967758
2026-09-02-v1,2026-07-01,METROPOLITAN:43,36.74435199,127.75608957
2026-09-02-v1,2026-07-01,METROPOLITAN:44,36.53125682,126.87942497
2026-09-02-v1,2026-07-01,METROPOLITAN:47,36.28826656,128.70817705
2026-09-02-v1,2026-07-01,METROPOLITAN:48,35.24032827,128.36772801
2026-09-02-v1,2026-07-01,METROPOLITAN:50,33.41342920,126.53173190
2026-09-02-v1,2026-07-01,METROPOLITAN:51,37.67303171,128.33971316
2026-09-02-v1,2026-07-01,METROPOLITAN:52,35.74513745,127.04247248
2026-09-02-v1,2026-07-01,BASIC_REGION:11110,37.58132564,126.99017558
2026-09-02-v1,2026-07-01,BASIC_REGION:11140,37.56042040,127.00042547
2026-09-02-v1,2026-07-01,BASIC_REGION:11170,37.53474832,126.97636602
2026-09-02-v1,2026-07-01,BASIC_REGION:11200,37.55265185,127.03858276
2026-09-02-v1,2026-07-01,BASIC_REGION:11215,37.54706834,127.08311588
2026-09-02-v1,2026-07-01,BASIC_REGION:11230,37.58264058,127.05478005
2026-09-02-v1,2026-07-01,BASIC_REGION:11260,37.59593723,127.08870785
2026-09-02-v1,2026-07-01,BASIC_REGION:11290,37.60318130,127.02475445
2026-09-02-v1,2026-07-01,BASIC_REGION:11305,37.63155746,127.02149626
2026-09-02-v1,2026-07-01,BASIC_REGION:11320,37.65797364,127.03621787
2026-09-02-v1,2026-07-01,BASIC_REGION:11350,37.64899555,127.06888355
2026-09-02-v1,2026-07-01,BASIC_REGION:11380,37.60613492,126.91870510
2026-09-02-v1,2026-07-01,BASIC_REGION:11410,37.57719175,126.93797695
2026-09-02-v1,2026-07-01,BASIC_REGION:11440,37.55334838,126.92490226
2026-09-02-v1,2026-07-01,BASIC_REGION:11470,37.52630717,126.85441441
2026-09-02-v1,2026-07-01,BASIC_REGION:11500,37.55416293,126.84116998
2026-09-02-v1,2026-07-01,BASIC_REGION:11530,37.49430879,126.86285425
2026-09-02-v1,2026-07-01,BASIC_REGION:11545,37.46025928,126.90359422
2026-09-02-v1,2026-07-01,BASIC_REGION:11560,37.51284335,126.90537337
2026-09-02-v1,2026-07-01,BASIC_REGION:11590,37.49656527,126.94924734
2026-09-02-v1,2026-07-01,BASIC_REGION:11620,37.47675134,126.93964251
2026-09-02-v1,2026-07-01,BASIC_REGION:11650,37.48889389,127.01101058
2026-09-02-v1,2026-07-01,BASIC_REGION:11680,37.49895812,127.05788168
2026-09-02-v1,2026-07-01,BASIC_REGION:11710,37.50427679,127.11696585
2026-09-02-v1,2026-07-01,BASIC_REGION:11740,37.54653789,127.14425271
2026-09-02-v1,2026-07-01,BASIC_REGION:12110,34.80345987,126.39842915
2026-09-02-v1,2026-07-01,BASIC_REGION:12130,34.73258008,127.68245339
2026-09-02-v1,2026-07-01,BASIC_REGION:12150,34.96807596,127.44221770
2026-09-02-v1,2026-07-01,BASIC_REGION:12170,34.99547036,126.71554967
2026-09-02-v1,2026-07-01,BASIC_REGION:12190,34.99479223,127.67845509
2026-09-02-v1,2026-07-01,BASIC_REGION:12210,35.14370138,126.93275399
2026-09-02-v1,2026-07-01,BASIC_REGION:12240,35.14798557,126.86958464
2026-09-02-v1,2026-07-01,BASIC_REGION:12270,35.12759633,126.89844675
2026-09-02-v1,2026-07-01,BASIC_REGION:12300,35.18281977,126.90604279
2026-09-02-v1,2026-07-01,BASIC_REGION:12330,35.16828118,126.79525801
2026-09-02-v1,2026-07-01,BASIC_REGION:12710,35.28462362,126.98835052
2026-09-02-v1,2026-07-01,BASIC_REGION:12720,35.22780881,127.24679724
2026-09-02-v1,2026-07-01,BASIC_REGION:12730,35.23025478,127.48916952
2026-09-02-v1,2026-07-01,BASIC_REGION:12740,34.60298930,127.32135501
2026-09-02-v1,2026-07-01,BASIC_REGION:12750,34.80836459,127.14522821
2026-09-02-v1,2026-07-01,BASIC_REGION:12760,35.00424076,127.01616195
2026-09-02-v1,2026-07-01,BASIC_REGION:12770,34.65547652,126.92929325
2026-09-02-v1,2026-07-01,BASIC_REGION:12780,34.61673260,126.77980646
2026-09-02-v1,2026-07-01,BASIC_REGION:12790,34.54173465,126.52980313
2026-09-02-v1,2026-07-01,BASIC_REGION:12800,34.80090185,126.63348935
2026-09-02-v1,2026-07-01,BASIC_REGION:12810,34.95799397,126.41941149
2026-09-02-v1,2026-07-01,BASIC_REGION:12820,35.10989233,126.53656164
2026-09-02-v1,2026-07-01,BASIC_REGION:12830,35.28208374,126.43994813
2026-09-02-v1,2026-07-01,BASIC_REGION:12840,35.31848030,126.76431328
2026-09-02-v1,2026-07-01,BASIC_REGION:12850,34.31591492,126.79319008
2026-09-02-v1,2026-07-01,BASIC_REGION:12860,34.44144336,126.22099586
2026-09-02-v1,2026-07-01,BASIC_REGION:12870,34.77408056,126.04950298
2026-09-02-v1,2026-07-01,BASIC_REGION:26110,35.10498648,129.03123124
2026-09-02-v1,2026-07-01,BASIC_REGION:26140,35.10302590,129.01735833
2026-09-02-v1,2026-07-01,BASIC_REGION:26170,35.12820493,129.04345502
2026-09-02-v1,2026-07-01,BASIC_REGION:26200,35.08538543,129.05541289
2026-09-02-v1,2026-07-01,BASIC_REGION:26230,35.16088152,129.04534605
2026-09-02-v1,2026-07-01,BASIC_REGION:26260,35.20447693,129.08221528
2026-09-02-v1,2026-07-01,BASIC_REGION:26290,35.12844929,129.08981268
2026-09-02-v1,2026-07-01,BASIC_REGION:26320,35.21870621,129.01950373
2026-09-02-v1,2026-07-01,BASIC_REGION:26350,35.18693012,129.15368042
2026-09-02-v1,2026-07-01,BASIC_REGION:26380,35.08966684,128.98032906
2026-09-02-v1,2026-07-01,BASIC_REGION:26410,35.24193112,129.09217511
2026-09-02-v1,2026-07-01,BASIC_REGION:26440,35.13107964,128.90044031
2026-09-02-v1,2026-07-01,BASIC_REGION:26470,35.18215569,129.08283200
2026-09-02-v1,2026-07-01,BASIC_REGION:26500,35.16066689,129.11245921
2026-09-02-v1,2026-07-01,BASIC_REGION:26530,35.16020795,128.99072989
2026-09-02-v1,2026-07-01,BASIC_REGION:26710,35.29603013,129.20258020
2026-09-02-v1,2026-07-01,BASIC_REGION:27110,35.86495275,128.59240819
2026-09-02-v1,2026-07-01,BASIC_REGION:27140,35.89018903,128.66018423
2026-09-02-v1,2026-07-01,BASIC_REGION:27170,35.87425950,128.56146322
2026-09-02-v1,2026-07-01,BASIC_REGION:27200,35.84035655,128.58252596
2026-09-02-v1,2026-07-01,BASIC_REGION:27230,35.91052233,128.58391211
2026-09-02-v1,2026-07-01,BASIC_REGION:27260,35.84203201,128.63909261
2026-09-02-v1,2026-07-01,BASIC_REGION:27290,35.83520574,128.53403645
2026-09-02-v1,2026-07-01,BASIC_REGION:27710,35.76265690,128.47305401
2026-09-02-v1,2026-07-01,BASIC_REGION:27720,36.16170361,128.65442621
2026-09-02-v1,2026-07-01,BASIC_REGION:28125,37.47387715,126.63366277
2026-09-02-v1,2026-07-01,BASIC_REGION:28155,37.47621243,126.50086048
2026-09-02-v1,2026-07-01,BASIC_REGION:28177,37.45441750,126.66784711
2026-09-02-v1,2026-07-01,BASIC_REGION:28185,37.40921944,126.66030084
2026-09-02-v1,2026-07-01,BASIC_REGION:28200,37.44545044,126.72252212
2026-09-02-v1,2026-07-01,BASIC_REGION:28237,37.49751253,126.72089897
2026-09-02-v1,2026-07-01,BASIC_REGION:28245,37.54258336,126.72902100
2026-09-02-v1,2026-07-01,BASIC_REGION:28275,37.51705281,126.66530933
2026-09-02-v1,2026-07-01,BASIC_REGION:28290,37.59626817,126.67735511
2026-09-02-v1,2026-07-01,BASIC_REGION:28710,37.71373921,126.40488901
2026-09-02-v1,2026-07-01,BASIC_REGION:28720,37.60394595,125.71836896
2026-09-02-v1,2026-07-01,BASIC_REGION:30110,36.33184188,127.44869789
2026-09-02-v1,2026-07-01,BASIC_REGION:30140,36.31706229,127.41233411
2026-09-02-v1,2026-07-01,BASIC_REGION:30170,36.32883430,127.37032143
2026-09-02-v1,2026-07-01,BASIC_REGION:30200,36.37597190,127.33697135
2026-09-02-v1,2026-07-01,BASIC_REGION:30230,36.39352362,127.43043203
2026-09-02-v1,2026-07-01,BASIC_REGION:31110,35.56655518,129.32288356
2026-09-02-v1,2026-07-01,BASIC_REGION:31140,35.53185569,129.31382597
2026-09-02-v1,2026-07-01,BASIC_REGION:31170,35.51481280,129.42403475
2026-09-02-v1,2026-07-01,BASIC_REGION:31200,35.59802518,129.37399002
2026-09-02-v1,2026-07-01,BASIC_REGION:31710,35.52701072,129.20306374
2026-09-02-v1,2026-07-01,BASIC_REGION:36110,36.53282620,127.26465756
2026-09-02-v1,2026-07-01,BASIC_REGION:41110,37.27532584,127.01641895
2026-09-02-v1,2026-07-01,BASIC_REGION:41130,37.41549000,127.13237301
2026-09-02-v1,2026-07-01,BASIC_REGION:41150,37.73673475,127.05997927
2026-09-02-v1,2026-07-01,BASIC_REGION:41170,37.39498925,126.93809716
