legacyRegionCode,currentRegionCode
# source=https://www.mois.go.kr/frt/bbs/type001/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000052&nttId=127039
# effectiveDate=2026-07-01
29110,12210
29140,12240
29155,12270
29170,12300
29200,12330
46110,12110
46130,12130
46150,12150
46170,12170
46230,12190
46710,12710
46720,12720
46730,12730
46770,12740
46780,12750
46790,12760
46800,12770
46810,12780
46820,12790
46830,12800
46840,12810
46860,12820
46870,12830
46880,12840
46890,12850
46900,12860
46910,12870
